index,label
0,5
1,0
2,2
3,2
4,5
5,5
6,2
7,2
8,2
9,5
10,5
11,5
12,0
13,5
14,5
15,2
16,0
17,5
18,5
19,5
20,2
21,5
22,0
23,5
24,5
25,5
26,5
27,5
28,2
29,2
30,0
31,0
32,2
33,5
34,2
35,5
36,5
37,0
38,5
39,5
40,2
41,2
42,5
43,2
44,2
45,5
46,5
47,5
48,5
49,2
50,2
51,0
52,2
53,5
54,5
55,2
56,2
57,5
58,2
59,0
60,0
61,5
62,2
63,2
64,5
65,0
66,0
67,0
68,2
69,0
70,0
71,0
72,2
73,0
74,0
75,0
76,2
77,2
78,2
79,0
80,2
81,5
82,0
83,5
84,2
85,5
86,0
87,5
88,5
89,5
90,0
91,0
92,2
93,5
94,5
95,2
96,0
97,2
98,2
99,5
100,0
101,5
102,5
103,5
104,5
105,5
106,2
107,5
108,2
109,0
110,5
111,2
112,0
113,2
114,5
115,0
116,5
117,0
118,5
119,5
120,2
121,0
122,0
123,2
124,5
125,0
126,0
127,5
128,5
129,0
130,2
131,0
132,2
133,5
134,5
135,5
136,5
137,5
138,0
139,2
140,5
141,2
142,5
143,2
144,2
145,0
146,0
147,2
148,0
149,5
150,2
151,2
152,2
153,2
154,5
155,2
156,5
157,0
158,2
159,2
160,2
161,2
162,5
163,5
164,5
165,2
166,2
167,2
168,2
169,2
170,5
171,5
172,5
173,2
174,2
175,0
176,5
177,5
178,0
179,2
180,0
181,5
182,5
183,0
184,5
185,2
186,5
187,5
188,2
189,0
190,2
191,2
192,0
193,5
194,0
195,0
196,5
197,2
198,0
199,5
200,0
201,5
202,2
203,2
204,5
205,5
206,0
207,2
208,2
209,5
210,5
211,2
212,5
213,5
214,2
215,5
216,0
217,2
218,0
219,0
220,0
221,5
222,2
223,5
224,0
225,5
226,0
227,0
228,5
229,2
230,2
231,5
232,0
233,0
234,5
235,5
236,2
237,0
238,5
239,2
240,0
241,0
242,2
243,0
244,2
245,2
246,5
247,5
248,0
249,5
250,0
251,5
252,2
253,5
254,2
255,2
256,0
257,5
258,2
259,5
260,2
261,2
262,5
263,2
264,5
265,0
266,5
267,2
268,2
269,5
270,2
271,5
272,5
273,5
274,5
275,0
276,0
277,0
278,5
279,2
280,5
281,5
282,0
283,2
284,5
285,0
286,5
287,0
288,2
289,5
290,2
291,5
292,5
293,5
294,0
295,5
296,0
297,0
298,0
299,2
300,1
301,1
302,1
303,1
304,1
305,1
306,1
307,1
308,1
309,1
310,1
311,1
312,1
313,1
314,1
315,1
316,1
317,1
318,1
319,1
320,1
321,1
322,1
323,1
324,1
325,1
326,1
327,1
328,1
329,1
330,1
331,1
332,1
333,1
334,1
335,1
336,1
337,1
338,1
339,1
340,1
341,1
342,1
343,1
344,1
345,1
346,1
347,1
348,1
349,1
350,1
351,1
352,1
353,1
354,1
355,1
356,1
357,1
358,1
359,1
360,1
361,1
362,1
363,1
364,1
365,1
366,1
367,1
368,1
369,1
370,1
371,1
372,1
373,1
374,1
375,1
376,1
377,1
378,1
379,1
380,1
381,1
382,1
383,1
384,1
385,1
386,1
387,1
388,1
389,1
390,1
391,1
392,1
393,1
394,1
395,1
396,1
397,1
398,1
399,1
400,1
401,1
402,1
403,1
404,1
405,1
406,1
407,1
408,1
409,1
410,1
411,1
412,1
413,1
414,1
415,1
416,1
417,1
418,1
419,1
420,1
421,1
422,1
423,1
424,1
425,1
426,1
427,1
428,1
429,1
430,1
431,1
432,1
433,1
434,1
435,1
436,1
437,1
438,1
439,1
440,1
441,1
442,1
443,1
444,1
445,1
446,1
447,1
448,1
449,1
450,1
451,1
452,1
453,1
454,1
455,1
456,1
457,1
458,1
459,1
460,1
461,1
462,1
463,1
464,1
465,1
466,1
467,1
468,1
469,1
470,1
471,1
472,1
473,1
474,1
475,1
476,1
477,1
478,1
479,1
480,1
481,1
482,1
483,1
484,1
485,1
486,1
487,1
488,1
489,1
490,1
491,1
492,1
493,1
494,1
495,1
496,1
497,1
498,1
499,1
500,1
501,1
502,1
503,1
504,1
