index,label
0,1
1,1
2,1
3,1
4,1
5,1
6,1
7,3
8,4
9,1
10,3
11,3
12,1
13,3
14,3
15,3
16,4
17,3
18,4
19,3
20,1
21,3
22,4
23,4
24,4
25,3
26,3
27,4
28,3
29,3
30,4
31,4
32,4
33,4
34,4
35,4
36,4
37,4
38,3
39,1
40,1
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,3
54,3
55,3
56,3
57,3
58,3
59,3
60,3
61,4
62,4
63,4
64,4
65,4
66,4
67,4
68,4
69,4
70,4
71,4
72,4
73,4
74,4
75,1
76,3
77,4
78,4
79,4
80,4
81,4
82,4
83,4
84,1
85,3
86,4
87,3
88,4
89,4
90,1
91,1
92,1
93,4
94,1
95,1
96,1
97,1
98,1
99,1
100,3
101,3
102,1
103,1
104,1
105,3
106,3
107,3
108,3
109,4
110,3
111,3
112,3
113,1
114,3
115,3
116,4
117,4
118,3
119,3
120,3
121,3
122,3
123,3
124,3
125,3
126,3
127,3
128,3
129,4
130,3
131,3
132,3
133,3
134,4
135,3
136,3
137,3
138,3
139,3
140,3
141,3
142,4
143,3
144,3
145,3
146,3
147,3
148,3
149,3
150,4
151,3
152,4
153,3
154,4
155,3
156,4
157,3
158,3
159,3
160,4
161,3
162,4
163,4
164,3
165,3
166,4
167,4
168,3
169,3
170,3
171,4
172,3
173,4
174,3
175,3
176,3
177,3
178,4
179,4
180,4
181,3
182,4
183,3
184,4
185,4
186,4
187,3
188,4
189,4
190,4
191,4
192,4
193,4
194,4
195,3
196,3
197,4
198,4
199,4
200,4
201,4
202,4
203,4
204,4
205,3
206,4
207,4
208,3
209,4
210,4
211,3
212,4
213,4
214,4
215,4
216,4
217,4
218,3
219,4
220,4
221,4
222,3
223,3
224,4
225,4
226,4
227,4
228,4
229,4
230,4
231,4
232,4
233,4
234,4
235,4
236,4
237,4
238,4
239,4
240,4
241,4
242,4
243,4
244,4
245,4
246,4
247,4
248,4
249,4
250,4
251,4
252,4
253,4
254,4
255,4
256,4
257,4
258,4
259,4
260,4
261,4
262,4
263,4
264,4
265,4
266,4
267,4
268,4
269,4
270,4
271,4
272,4
273,4
274,4
275,4
276,4
277,4
278,4
279,4
280,4
281,4
282,4
283,4
284,4
285,4
286,4
287,4
288,4
289,4
290,4
291,4
292,4
293,4
294,4
295,4
296,4
297,4
298,4
299,4
300,4
301,4
302,4
303,4
304,4
305,4
306,4
307,4
308,4
309,4
310,4
311,4
312,4
313,4
314,4
315,4
316,4
317,4
318,4
319,4
320,4
321,4
322,4
323,4
324,4
325,4
326,4
327,4
328,4
329,4
330,4
331,4
332,4
333,4
334,4
335,4
336,4
337,4
338,4
339,4
340,4
341,4
342,4
343,4
344,4
345,4
346,4
347,4
348,4
349,4
350,4
351,4
352,4
353,4
354,4
355,4
356,4
357,4
358,4
359,4
360,4
361,4
362,4
363,4
364,4
365,4
366,4
367,4
368,4
369,4
370,4
371,4
372,4
373,4
374,4
375,4
376,4
377,4
378,4
379,4
380,4
381,4
382,4
383,4
384,4
385,4
386,4
387,4
388,4
389,4
390,4
391,4
392,4
393,4
394,4
395,4
396,4
397,4
398,4
399,4
400,4
401,4
402,4
403,4
404,4
405,4
406,4
407,4
408,4
409,4
410,4
411,4
412,4
413,4
414,4
415,4
416,4
417,4
418,4
419,4
420,4
421,4
422,4
423,4
424,4
425,4
426,4
427,4
428,4
429,4
430,4
431,4
432,4
433,4
434,4
435,4
436,4
437,4
438,4
439,4
440,4
441,4
442,4
443,4
444,4
445,4
446,4
447,4
448,4
449,4
450,4
451,4
452,4
453,4
454,4
455,4
456,4
457,4
458,4
459,4
460,4
461,4
462,4
463,4
464,4
465,4
466,4
467,4
468,4
469,4
470,4
471,4
472,4
473,4
474,4
475,4
476,4
477,4
478,4
479,4
480,4
481,4
482,4
483,4
484,4
485,4
486,4
487,4
488,4
489,4
490,4
491,4
492,4
493,4
494,4
495,4
496,4
497,4
498,4
499,4
500,4
501,4
502,4
503,4
504,4
505,4
506,4
507,4
508,4
509,4
510,4
511,4
512,4
513,4
514,4
515,4
516,4
517,4
518,4
519,4
520,4
521,4
522,4
523,4
524,4
525,4
526,4
527,4
528,4
529,4
530,4
531,4
532,4
533,4
534,4
535,4
536,4
537,4
538,4
539,4
540,4
541,4
542,4
543,4
544,4
545,4
546,4
547,4
548,4
549,4
550,4
551,4
552,4
553,4
554,4
555,4
556,4
557,4
558,4
559,4
560,4
561,4
562,4
563,4
564,4
565,4
566,4
567,4
568,4
569,4
570,4
571,4
572,4
573,4
574,4
575,4
576,4
577,4
578,4
579,1
580,3
581,3
582,3
583,4
584,4
585,4
586,4
587,4
588,4
589,4
590,4
591,4
592,0
593,0
594,1
595,0
596,0
597,0
598,0
599,1
600,1
601,0
602,1
603,0
604,0
605,0
606,0
607,2
608,2
609,2
610,4
611,3
612,2
613,4
614,2
615,0
616,0
617,2
618,0
619,2
620,2
621,2
622,4
623,2
624,1
625,1
626,1
627,1
628,1
629,1
630,1
631,1
632,1
633,1
634,1
635,1
636,1
637,1
638,1
639,1
640,1
641,1
642,1
643,1
644,1
645,1
646,1
647,1
648,1
649,1
650,1
651,1
652,1
653,1
654,1
655,1
656,1
657,1
658,1
659,1
660,1
661,1
662,1
663,1
664,1
665,1
666,1
667,1
668,1
669,1
670,1
671,1
672,1
673,1
674,1
675,1
676,1
677,1
678,1
679,1
680,1
681,1
682,1
683,1
684,1
685,1
686,1
687,1
688,1
689,1
690,1
691,1
692,1
693,1
694,1
695,1
696,1
697,1
698,1
699,1
700,1
701,1
702,1
703,1
704,1
705,1
706,3
707,1
708,1
709,3
710,1
711,3
712,3
713,1
714,1
715,1
716,3
717,1
718,3
719,3
720,3
721,1
722,3
723,3
724,1
725,3
726,3
727,1
728,3
729,1
730,3
731,3
732,3
733,3
734,3
735,1
736,3
737,3
738,3
739,3
740,3
741,3
742,3
743,3
744,3
745,3
746,3
747,1
748,3
749,3
750,3
751,3
752,3
753,3
754,3
755,3
756,3
757,3
758,3
759,3
760,3
761,3
762,3
763,3
764,3
765,3
766,3
767,3
768,3
769,3
770,3
771,3
772,3
773,3
774,3
775,3
776,3
777,3
778,3
779,3
780,3
781,3
782,4
783,3
784,3
785,3
786,4
787,3
788,3
789,3
790,4
791,3
792,3
793,4
794,4
795,3
796,4
797,4
798,3
799,4
800,4
801,3
802,4
803,4
804,4
805,4
806,4
807,4
808,4
809,4
810,4
811,4
812,4
